repo,tag,last_update
nvidia/cuda,10.1-devel-rockylinux8,2022-05-28 22:13:01
nvidia/cuda,10.1-devel-ubi7,2022-05-28 22:00:46
nvidia/cuda,10.1-devel-ubi8,2022-05-28 21:52:32
nvidia/cuda,10.1-devel-ubuntu14.04,2019-08-27 01:07:59
nvidia/cuda,10.1-devel-ubuntu16.04,2022-04-03 19:35:28
nvidia/cuda,10.1-devel-ubuntu18.04,2022-05-28 22:02:33
nvidia/cuda,10.1-runtime,2021-07-02 23:59:30
nvidia/cuda,10.1-runtime-centos6,2019-12-05 23:37:58
nvidia/cuda,10.1-runtime-centos7,2022-05-28 22:03:45
nvidia/cuda,10.1-runtime-centos8,2022-01-06 22:21:15
nvidia/cuda,10.1-runtime-rockylinux8,2022-05-28 22:12:53
nvidia/cuda,10.1-runtime-ubi7,2022-05-28 22:00:22
nvidia/cuda,10.1-runtime-ubi8,2022-05-28 21:52:26
nvidia/cuda,10.1-runtime-ubuntu14.04,2019-08-27 01:08:01
nvidia/cuda,10.1-runtime-ubuntu16.04,2022-04-03 19:35:23
nvidia/cuda,10.1-runtime-ubuntu18.04,2022-05-28 22:02:07
nvidia/cuda,10.2-base,2021-07-08 21:03:09
nvidia/cuda,10.2-base-centos6,2019-12-05 23:37:55
nvidia/cuda,10.2-base-centos7,2022-12-17 08:27:26
nvidia/cuda,10.2-base-centos8,2022-01-06 22:22:09
nvidia/cuda,10.2-base-rockylinux8,2022-12-17 08:28:39
nvidia/cuda,10.2-base-ubi7,2022-12-17 08:30:19
nvidia/cuda,10.2-base-ubi8,2022-12-17 08:31:10
nvidia/cuda,10.2-base-ubuntu16.04,2022-05-22 22:12:33
nvidia/cuda,10.2-base-ubuntu18.04,2022-12-17 08:23:48
nvidia/cuda,10.2-cudnn7-devel,2021-07-08 21:02:49
nvidia/cuda,10.2-cudnn7-devel-centos6,2019-12-05 23:35:22
nvidia/cuda,10.2-cudnn7-devel-centos7,2022-04-03 17:56:54
nvidia/cuda,10.2-cudnn7-devel-centos8,2022-01-06 22:21:28
nvidia/cuda,10.2-cudnn7-devel-ubi7,2022-04-03 18:56:50
nvidia/cuda,10.2-cudnn7-devel-ubi8,2022-04-30 01:09:29
nvidia/cuda,10.2-cudnn7-devel-ubuntu16.04,2022-04-03 17:55:56
nvidia/cuda,10.2-cudnn7-devel-ubuntu18.04,2022-04-03 17:56:31
nvidia/cuda,10.2-cudnn7-runtime,2021-07-08 21:02:44
